date,ticker,market,open,high,low,close,adj_close,volume,year,month,month_name,year_month
2016-06-28,LE=F,Live Cattle Futures,116.25,117.1999969482422,116.1999969482422,117.0749969482422,117.0749969482422,1289,2016,6,June,2016-06
2016-06-29,LE=F,Live Cattle Futures,117.1999969482422,119.0,117.1999969482422,118.9000015258789,118.9000015258789,1708,2016,6,June,2016-06
2016-06-30,LE=F,Live Cattle Futures,119.25,120.0,118.6750030517578,120.0,120.0,24514,2016,6,June,2016-06
2016-07-01,LE=F,Live Cattle Futures,114.8499984741211,115.3499984741211,112.7750015258789,112.9749984741211,112.9749984741211,22873,2016,7,July,2016-07
2016-07-05,LE=F,Live Cattle Futures,113.0500030517578,114.2249984741211,111.0749969482422,113.6500015258789,113.6500015258789,23726,2016,7,July,2016-07
2016-07-06,LE=F,Live Cattle Futures,113.9000015258789,114.4000015258789,112.3249969482422,112.8000030517578,112.8000030517578,19044,2016,7,July,2016-07
2016-07-07,LE=F,Live Cattle Futures,112.5,113.125,111.5500030517578,111.8000030517578,111.8000030517578,17821,2016,7,July,2016-07
2016-07-08,LE=F,Live Cattle Futures,111.5749969482422,113.8249969482422,111.3499984741211,112.2249984741211,112.2249984741211,27948,2016,7,July,2016-07
2016-07-11,LE=F,Live Cattle Futures,112.0,112.17500305175781,109.2249984741211,109.3499984741211,109.3499984741211,35088,2016,7,July,2016-07
2016-07-12,LE=F,Live Cattle Futures,109.4000015258789,110.1500015258789,108.17500305175781,108.9000015258789,108.9000015258789,32112,2016,7,July,2016-07
2016-07-13,LE=F,Live Cattle Futures,108.9000015258789,111.5250015258789,108.7249984741211,111.44999694824219,111.44999694824219,38779,2016,7,July,2016-07
2016-07-14,LE=F,Live Cattle Futures,111.5,113.5,111.4000015258789,112.7249984741211,112.7249984741211,38458,2016,7,July,2016-07
2016-07-15,LE=F,Live Cattle Futures,112.7249984741211,113.0999984741211,110.69999694824219,110.92500305175781,110.92500305175781,19794,2016,7,July,2016-07
2016-07-18,LE=F,Live Cattle Futures,110.4000015258789,112.82499694824219,109.625,112.44999694824219,112.44999694824219,21881,2016,7,July,2016-07
2016-07-19,LE=F,Live Cattle Futures,112.42500305175781,112.92500305175781,110.0,110.4000015258789,110.4000015258789,16385,2016,7,July,2016-07
2016-07-20,LE=F,Live Cattle Futures,110.0,111.5,109.0250015258789,109.42500305175781,109.42500305175781,17440,2016,7,July,2016-07
2016-07-21,LE=F,Live Cattle Futures,109.55000305175781,109.80000305175781,107.0999984741211,107.5250015258789,107.5250015258789,17112,2016,7,July,2016-07
2016-07-22,LE=F,Live Cattle Futures,107.44999694824219,110.42500305175781,107.3499984741211,109.94999694824219,109.94999694824219,12877,2016,7,July,2016-07
2016-07-25,LE=F,Live Cattle Futures,110.94999694824219,112.94999694824219,110.94999694824219,112.94999694824219,112.94999694824219,12378,2016,7,July,2016-07
2016-07-26,LE=F,Live Cattle Futures,113.1500015258789,113.9749984741211,112.44999694824219,113.875,113.875,12275,2016,7,July,2016-07
2016-07-27,LE=F,Live Cattle Futures,113.42500305175781,114.375,113.25,113.94999694824219,113.94999694824219,9672,2016,7,July,2016-07
2016-07-28,LE=F,Live Cattle Futures,113.875,114.875,113.05000305175781,113.32499694824219,113.32499694824219,8408,2016,7,July,2016-07
2016-07-29,LE=F,Live Cattle Futures,113.07499694824219,113.9749984741211,112.80000305175781,113.07499694824219,113.07499694824219,6320,2016,7,July,2016-07
2016-08-01,LE=F,Live Cattle Futures,113.9000015258789,116.07499694824219,113.7249984741211,115.92500305175781,115.92500305175781,11352,2016,8,August,2016-08
2016-08-02,LE=F,Live Cattle Futures,116.1500015258789,116.7750015258789,115.4000015258789,116.2249984741211,116.2249984741211,6668,2016,8,August,2016-08
2016-08-03,LE=F,Live Cattle Futures,116.19999694824219,117.17500305175781,115.92500305175781,116.75,116.75,8324,2016,8,August,2016-08
2016-08-04,LE=F,Live Cattle Futures,116.55000305175781,117.5,115.94999694824219,116.32499694824219,116.32499694824219,8653,2016,8,August,2016-08
2016-08-05,LE=F,Live Cattle Futures,117.17500305175781,117.75,116.4000015258789,117.67500305175781,117.67500305175781,10381,2016,8,August,2016-08
2016-08-08,LE=F,Live Cattle Futures,117.7249984741211,117.75,116.875,116.92500305175781,116.92500305175781,4644,2016,8,August,2016-08
2016-08-09,LE=F,Live Cattle Futures,117.125,117.75,116.67500305175781,116.9749984741211,116.9749984741211,2617,2016,8,August,2016-08
2016-08-10,LE=F,Live Cattle Futures,117.1500015258789,117.625,116.67500305175781,116.8499984741211,116.8499984741211,2564,2016,8,August,2016-08
2016-08-11,LE=F,Live Cattle Futures,116.80000305175781,117.07499694824219,115.125,116.0250015258789,116.0250015258789,3772,2016,8,August,2016-08
2016-08-12,LE=F,Live Cattle Futures,115.94999694824219,116.6500015258789,115.2750015258789,116.32499694824219,116.32499694824219,1848,2016,8,August,2016-08
2016-08-15,LE=F,Live Cattle Futures,116.6500015258789,117.05000305175781,115.8499984741211,115.92500305175781,115.92500305175781,1922,2016,8,August,2016-08
2016-08-16,LE=F,Live Cattle Futures,115.875,116.2750015258789,114.32499694824219,115.5,115.5,2742,2016,8,August,2016-08
2016-08-17,LE=F,Live Cattle Futures,115.19999694824219,115.5250015258789,114.625,114.75,114.75,1535,2016,8,August,2016-08
2016-08-18,LE=F,Live Cattle Futures,114.82499694824219,115.07499694824219,113.4000015258789,113.57499694824219,113.57499694824219,2621,2016,8,August,2016-08
